,Order,Wavelength Start (micron),Region Size (micron),Both Fibers,Species
69,22,1.14512,7.177e-05,0,"Emission line wavelength(s) in region: [(1.14515, 'OH Line'), (1.14518, 'OH Line')] micron"
70,22,1.14684,5.659e-05,0,"Emission line wavelength(s) in region: [(1.14687, 'OH Line'), (1.14688, 'OH Line')] micron"
71,22,1.15385,0.0001226,1,"Emission line wavelength(s) in region: [(1.15389, 'OH Line'), (1.15395, 'Unknown Species')] micron"
72,22,1.1565,5.818e-05,0,"Emission line wavelength(s) in region: [(1.15652, 'OH Line'), (1.15653, 'OH Line')] micron"
73,23,1.15384,7.738e-05,1,"Emission line wavelength(s) in region: [(1.15388, 'OH Line')] micron"
74,23,1.1565,4.78e-05,1,"Emission line wavelength(s) in region: [(1.15652, 'OH Line')] micron"
75,23,1.15913,6.963e-05,1,"Emission line wavelength(s) in region: [(1.15915, 'OH Line'), (1.15918, 'OH Line')] micron"
76,23,1.16042,0.00011472,0,"Emission line wavelength(s) in region: [(1.16048, 'Unknown Species')] micron"
77,23,1.16169,7.241e-05,0,"Emission line wavelength(s) in region: [(1.16173, 'OH Line')] micron"
78,23,1.16276,4.047e-05,1,"Emission line wavelength(s) in region: [(1.16279, 'OH Line')] micron"
79,23,1.16503,9.42e-05,1,"Emission line wavelength(s) in region: [(1.16505, 'OH Line'), (1.1651, 'OH Line')] micron"
80,24,1.16276,5.077e-05,0,"Emission line wavelength(s) in region: [(1.16278, 'OH Line')] micron"
81,24,1.16503,9.333e-05,1,"Emission line wavelength(s) in region: [(1.16505, 'OH Line'), (1.1651, 'OH Line')] micron"
82,24,1.16955,0.00014032,1,"Emission line wavelength(s) in region: [(1.16963, 'OH Line'), (1.16965, 'OH Line')] micron"
83,24,1.17156,4.16e-05,1,"Emission line wavelength(s) in region: [(1.17158, 'OH Line')] micron"
84,24,1.17163,4.15e-05,1,"Emission line wavelength(s) in region: [(1.17165, 'OH Line')] micron"
85,24,1.17508,3.625e-05,0,"Emission line wavelength(s) in region: [(1.1751, 'Unknown Species')] micron"
86,25,1.17156,3.286e-05,0,"Emission line wavelength(s) in region: [(1.17158, 'OH Line')] micron"
87,25,1.17162,5.159e-05,0,"Emission line wavelength(s) in region: [(1.17165, 'OH Line')] micron"
88,25,1.17873,4.489e-05,1,"Emission line wavelength(s) in region: [(1.17876, 'OH Line')] micron"
89,25,1.17883,4.478e-05,1,"Emission line wavelength(s) in region: [(1.17885, 'OH Line')] micron"
